,state,year,lrmer_co2e_kg_mwh,case
0,AL,2022,722.7,HighRECost
1,AL,2024,660.4,HighRECost
2,AL,2026,560.4,HighRECost
3,AL,2028,520.7,HighRECost
4,AL,2030,527.2,HighRECost
5,AL,2032,522.6,HighRECost
6,AL,2034,526.7,HighRECost
7,AL,2036,511.3,HighRECost
8,AL,2038,514.1,HighRECost
9,AL,2040,512.1,HighRECost
10,AL,2042,531.7,HighRECost
11,AL,2044,513.5,HighRECost
12,AL,2046,484.5,HighRECost
13,AL,2048,396.1,HighRECost
14,AL,2050,364.4,HighRECost
15,AR,2022,713.3,HighRECost
16,AR,2024,604.1,HighRECost
17,AR,2026,450.8,HighRECost
18,AR,2028,397.3,HighRECost
19,AR,2030,410.3,HighRECost
20,AR,2032,406.1,HighRECost
21,AR,2034,455.8,HighRECost
22,AR,2036,468.9,HighRECost
23,AR,2038,490.6,HighRECost
24,AR,2040,472.6,HighRECost
25,AR,2042,491.6,HighRECost
26,AR,2044,454.6,HighRECost
27,AR,2046,404.6,HighRECost
28,AR,2048,324.4,HighRECost
29,AR,2050,301.3,HighRECost
30,AZ,2022,537.7,HighRECost
31,AZ,2024,501.8,HighRECost
32,AZ,2026,407.7,HighRECost
33,AZ,2028,399.4,HighRECost
34,AZ,2030,406.5,HighRECost
35,AZ,2032,417.6,HighRECost
36,AZ,2034,418.4,HighRECost
37,AZ,2036,385.2,HighRECost
38,AZ,2038,401.1,HighRECost
39,AZ,2040,373.3,HighRECost
40,AZ,2042,408.0,HighRECost
41,AZ,2044,319.5,HighRECost
42,AZ,2046,286.1,HighRECost
43,AZ,2048,181.0,HighRECost
44,AZ,2050,203.0,HighRECost
45,CA,2022,354.4,HighRECost
46,CA,2024,300.0,HighRECost
47,CA,2026,213.3,HighRECost
48,CA,2028,174.3,HighRECost
49,CA,2030,209.6,HighRECost
50,CA,2032,217.8,HighRECost
51,CA,2034,296.9,HighRECost
52,CA,2036,286.3,HighRECost
53,CA,2038,328.1,HighRECost
54,CA,2040,216.3,HighRECost
55,CA,2042,166.6,HighRECost
56,CA,2044,94.9,HighRECost
57,CA,2046,92.0,HighRECost
58,CA,2048,67.2,HighRECost
59,CA,2050,67.2,HighRECost
60,CO,2022,575.6,HighRECost
61,CO,2024,439.9,HighRECost
62,CO,2026,287.8,HighRECost
63,CO,2028,256.9,HighRECost
64,CO,2030,324.2,HighRECost
65,CO,2032,336.3,HighRECost
66,CO,2034,382.6,HighRECost
67,CO,2036,369.9,HighRECost
68,CO,2038,399.7,HighRECost
69,CO,2040,348.7,HighRECost
70,CO,2042,396.7,HighRECost
71,CO,2044,316.0,HighRECost
72,CO,2046,258.2,HighRECost
73,CO,2048,154.8,HighRECost
74,CO,2050,171.8,HighRECost
