,sim_name,enduse,subcategory,fuel,absolute_kbtu,kbtu_per_sf_total,kbtu_per_sf_conditioned
1,FullServiceRestaurant__90.1-2004__1A,Cooling,General,Electricity,390357.49,70.94119817175672,70.94119817175672
2,FullServiceRestaurant__90.1-2004__1A,Interior Lighting,General,Electricity,177115.14,32.187829279152396,32.187829279152396
3,FullServiceRestaurant__90.1-2004__1A,Exterior Lighting,General,Electricity,55090.49,10.011810887679347,10.011810887679347
4,FullServiceRestaurant__90.1-2004__1A,Interior Equipment,General,Electricity,436950.72,79.40876866180224,79.40876866180224
6,FullServiceRestaurant__90.1-2004__1A,Fans,General,Electricity,276737.22,50.292540731115565,50.292540731115565
7,FullServiceRestaurant__90.1-2004__1A,Pumps,General,Electricity,1138.05,0.20682229148303966,0.20682229148303966
12,FullServiceRestaurant__90.1-2004__1A,Water Systems,Booster,Electricity,74685.14,13.572823509100326,13.572823509100326
13,FullServiceRestaurant__90.1-2004__1A,Refrigeration,General,Electricity,78145.1,14.201615614578696,14.201615614578696
19,FullServiceRestaurant__90.1-2004__1A,Interior Equipment,General,Natural Gas,445549.04,80.97137508973111,80.97137508973111
26,FullServiceRestaurant__90.1-2004__1A,Water Systems,General,Natural Gas,568098.7,103.24280560830886,103.24280560830886
1,FullServiceRestaurant__90.1-2004__2A,Cooling,General,Electricity,361216.16,65.64522993884653,65.64522993884653
2,FullServiceRestaurant__90.1-2004__2A,Interior Lighting,General,Electricity,177115.14,32.187829279152396,32.187829279152396
3,FullServiceRestaurant__90.1-2004__2A,Exterior Lighting,General,Electricity,55021.09,9.999198553397969,9.999198553397969
4,FullServiceRestaurant__90.1-2004__2A,Interior Equipment,General,Electricity,436950.72,79.40876866180224,79.40876866180224
6,FullServiceRestaurant__90.1-2004__2A,Fans,General,Electricity,272172.48,49.46297262178444,49.46297262178444
7,FullServiceRestaurant__90.1-2004__2A,Pumps,General,Electricity,1138.05,0.20682229148303966,0.20682229148303966
12,FullServiceRestaurant__90.1-2004__2A,Water Systems,Booster,Electricity,74680.8,13.572034783872931,13.572034783872931
13,FullServiceRestaurant__90.1-2004__2A,Refrigeration,General,Electricity,74135.83,13.472995247657904,13.472995247657904
15,FullServiceRestaurant__90.1-2004__2A,Heating,General,Natural Gas,15592.82,2.833744354890005,2.833744354890005
19,FullServiceRestaurant__90.1-2004__2A,Interior Equipment,General,Natural Gas,445549.04,80.97137508973111,80.97137508973111
26,FullServiceRestaurant__90.1-2004__2A,Water Systems,General,Natural Gas,620891.18,112.83699012276126,112.83699012276126
1,FullServiceRestaurant__90.1-2004__2B,Cooling,General,Electricity,259619.49,47.18166849915039,47.18166849915039
2,FullServiceRestaurant__90.1-2004__2B,Interior Lighting,General,Electricity,177115.14,32.187829279152396,32.187829279152396
3,FullServiceRestaurant__90.1-2004__2B,Exterior Lighting,General,Electricity,55065.25,10.00722392345367,10.00722392345367
4,FullServiceRestaurant__90.1-2004__2B,Interior Equipment,General,Electricity,436950.72,79.40876866180224,79.40876866180224
6,FullServiceRestaurant__90.1-2004__2B,Fans,General,Electricity,271536.27,49.3473516824018,49.3473516824018
7,FullServiceRestaurant__90.1-2004__2B,Pumps,General,Electricity,1138.05,0.20682229148303966,0.20682229148303966
12,FullServiceRestaurant__90.1-2004__2B,Water Systems,Booster,Electricity,74692.36,13.574135628027005,13.574135628027005
13,FullServiceRestaurant__90.1-2004__2B,Refrigeration,General,Electricity,72580.27,13.19029722583166,13.19029722583166
