,sim_name,area_total,area_conditioned,area_unconditioned,building_type,ashrae_standard,climate_zone,annual_coil_heating_kbtu,annual_coil_cooling_kbtu
0,FullServiceRestaurant__90.1-2004__1A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,1A,0.0,1476076.9234466024
1,FullServiceRestaurant__90.1-2004__2A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,2A,12356.352236210725,1371985.0436797284
2,FullServiceRestaurant__90.1-2004__2B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,2B,9785.534849157082,862869.5352373082
3,FullServiceRestaurant__90.1-2004__3A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,3A,178336.12422820146,682352.1558661815
4,FullServiceRestaurant__90.1-2004__3B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,3B,37578.82711981927,618400.6656472082
5,FullServiceRestaurant__90.1-2004__3C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,3C,6191.153813660196,273851.0333728944
6,FullServiceRestaurant__90.1-2004__4A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,4A,538075.2361670847,420781.07411203475
7,FullServiceRestaurant__90.1-2004__4B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,4B,118331.51777429521,383498.5548279614
8,FullServiceRestaurant__90.1-2004__4C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,4C,271263.5005680371,103962.27862245093
9,FullServiceRestaurant__90.1-2004__5A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,5A,770416.4915259044,217961.30800719405
10,FullServiceRestaurant__90.1-2004__5B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,5B,347312.39502076764,273564.6576005108
11,FullServiceRestaurant__90.1-2004__6A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,6A,1127601.9795189998,251448.1439980353
12,FullServiceRestaurant__90.1-2004__6B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,6B,750117.9491109697,169108.0267723973
13,FullServiceRestaurant__90.1-2004__7A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,7A,1457044.5463419075,169489.15196376725
14,FullServiceRestaurant__90.1-2004__8A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2004,8A,2105556.4000633773,59745.438232269975
15,FullServiceRestaurant__90.1-2007__1A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,1A,0.0,1416530.2091457448
16,FullServiceRestaurant__90.1-2007__2A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,2A,186.21869461094587,1282048.308934281
17,FullServiceRestaurant__90.1-2007__2B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,2B,0.0,846884.1132123746
18,FullServiceRestaurant__90.1-2007__3A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,3A,18159.72889022486,681260.9016934995
19,FullServiceRestaurant__90.1-2007__3B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,3B,580.9788960788931,610695.7576217372
20,FullServiceRestaurant__90.1-2007__3C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,3C,0.0,350040.3621653041
21,FullServiceRestaurant__90.1-2007__4A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,4A,170133.65686209424,436555.91844072257
22,FullServiceRestaurant__90.1-2007__4B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,4B,2160.944517219768,411577.12394970306
23,FullServiceRestaurant__90.1-2007__4C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,4C,5991.379498195008,147246.15956360288
24,FullServiceRestaurant__90.1-2007__5A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,5A,116709.93515821829,256865.3323747477
25,FullServiceRestaurant__90.1-2007__5B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,5B,24161.61979727542,320210.1440179384
26,FullServiceRestaurant__90.1-2007__6A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,6A,417762.02070973,288958.55269650684
27,FullServiceRestaurant__90.1-2007__6B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,6B,85108.72432465007,208014.37149049473
28,FullServiceRestaurant__90.1-2007__7A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,7A,300652.135775668,213457.7986351947
29,FullServiceRestaurant__90.1-2007__8A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2007,8A,775194.3022499388,92560.34568686808
30,FullServiceRestaurant__90.1-2010__1A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,1A,0.0,1250814.2983002285
31,FullServiceRestaurant__90.1-2010__2A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,2A,0.0,1130063.1111882853
32,FullServiceRestaurant__90.1-2010__2B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,2B,0.0,730614.6109889771
33,FullServiceRestaurant__90.1-2010__3A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,3A,33316.75754261743,580437.2502905682
34,FullServiceRestaurant__90.1-2010__3B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,3B,21.7506343842441,521859.05661062157
35,FullServiceRestaurant__90.1-2010__3C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,3C,0.0,274945.3016701322
36,FullServiceRestaurant__90.1-2010__4A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,4A,81077.01627864494,350300.9048548477
37,FullServiceRestaurant__90.1-2010__4B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,4B,1597.0116149083492,349825.9599199636
38,FullServiceRestaurant__90.1-2010__4C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,4C,25377.209028231995,110347.11722017865
39,FullServiceRestaurant__90.1-2010__5A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,5A,196642.65946412855,193076.43444320493
40,FullServiceRestaurant__90.1-2010__5B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,5B,40777.83852547456,249540.0968813836
41,FullServiceRestaurant__90.1-2010__6A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,6A,297067.0993380351,237339.480847835
42,FullServiceRestaurant__90.1-2010__6B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,6B,134286.8388581802,166030.90978057936
43,FullServiceRestaurant__90.1-2010__7A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,7A,388478.11873707396,169927.32968993697
44,FullServiceRestaurant__90.1-2010__8A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2010,8A,633053.7886563833,61561.10580806436
45,FullServiceRestaurant__90.1-2013__1A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,1A,0.0,1194119.445707347
46,FullServiceRestaurant__90.1-2013__2A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,2A,422.2349917487319,1078785.1248736277
47,FullServiceRestaurant__90.1-2013__2B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,2B,0.0,686159.661582197
48,FullServiceRestaurant__90.1-2013__3A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,3A,31057.03093871619,557234.382331274
49,FullServiceRestaurant__90.1-2013__3B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,3B,1138.264877353635,498994.1639820024
50,FullServiceRestaurant__90.1-2013__3C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,3C,102.52546538072822,255892.73955573136
51,FullServiceRestaurant__90.1-2013__4A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,4A,69449.76821674716,350030.2228192254
52,FullServiceRestaurant__90.1-2013__4B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,4B,3556.55376899788,344944.7630260095
53,FullServiceRestaurant__90.1-2013__4C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,4C,20201.032814253558,111488.6329458208
54,FullServiceRestaurant__90.1-2013__5A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,5A,197192.9176545167,195416.02494841546
55,FullServiceRestaurant__90.1-2013__5B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,5B,42148.86194364146,250318.1567775954
56,FullServiceRestaurant__90.1-2013__6A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,6A,284355.59045377583,232538.67302729332
57,FullServiceRestaurant__90.1-2013__6B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,6B,138405.90273343836,162323.64957511067
58,FullServiceRestaurant__90.1-2013__7A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,7A,369366.2337822111,169756.21737650936
59,FullServiceRestaurant__90.1-2013__8A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2013,8A,619251.6652147031,63445.098676256566
60,FullServiceRestaurant__90.1-2016__1A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,1A,0.0,1155615.475721864
61,FullServiceRestaurant__90.1-2016__2A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,2A,449.16133288812154,1046019.5779112871
62,FullServiceRestaurant__90.1-2016__2B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,2B,255.4920020347661,663415.5949773972
63,FullServiceRestaurant__90.1-2016__3A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,3A,32788.94540620307,538243.5239448991
64,FullServiceRestaurant__90.1-2016__3B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,3B,1047.7731837848926,482511.28390281246
65,FullServiceRestaurant__90.1-2016__3C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,3C,133.31521217903236,217866.80002823667
66,FullServiceRestaurant__90.1-2016__4A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,4A,80799.34326662323,328244.62323568185
67,FullServiceRestaurant__90.1-2016__4B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,4B,3102.5036515429338,323048.6573276332
68,FullServiceRestaurant__90.1-2016__4C,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,4C,16636.938958153005,99205.34509894834
69,FullServiceRestaurant__90.1-2016__5A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,5A,203040.97890209145,181351.26636138096
70,FullServiceRestaurant__90.1-2016__5B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,5B,38865.18369328782,235887.41250534877
71,FullServiceRestaurant__90.1-2016__6A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,6A,315922.73220104404,204481.6808558915
72,FullServiceRestaurant__90.1-2016__6B,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,6B,141406.85063681548,151997.27080812247
73,FullServiceRestaurant__90.1-2016__7A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,7A,408704.34821308,147117.08599334364
74,FullServiceRestaurant__90.1-2016__8A,5502.55,5502.55,0.0,FullServiceRestaurant,90.1-2016,8A,609809.3817309041,57404.5763037296
75,FullServiceRestaurant__DOE_Ref_1980-2004__1A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,1A,1425.3500543386763,814850.1688471425
76,FullServiceRestaurant__DOE_Ref_1980-2004__2A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,2A,96243.53983138555,773413.6197316652
77,FullServiceRestaurant__DOE_Ref_1980-2004__2B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,2B,105119.65851766976,520227.7261723765
78,FullServiceRestaurant__DOE_Ref_1980-2004__3A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,3A,299549.19189983286,370055.41286333295
79,FullServiceRestaurant__DOE_Ref_1980-2004__3B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,3B,197104.09286273297,347144.71429688367
80,FullServiceRestaurant__DOE_Ref_1980-2004__3C,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,3C,148550.57494816158,87550.71124686184
81,FullServiceRestaurant__DOE_Ref_1980-2004__4A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,4A,543451.8380993593,214940.3795780563
82,FullServiceRestaurant__DOE_Ref_1980-2004__4B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,4B,333183.7268359915,197979.2648792603
83,FullServiceRestaurant__DOE_Ref_1980-2004__4C,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,4C,484967.59873617586,38710.43334834257
84,FullServiceRestaurant__DOE_Ref_1980-2004__5A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,5A,722831.7130782735,98955.14619780165
85,FullServiceRestaurant__DOE_Ref_1980-2004__5B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,5B,515136.08996884536,131703.19243131226
86,FullServiceRestaurant__DOE_Ref_1980-2004__6A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,6A,912183.8201855298,122193.92546232631
87,FullServiceRestaurant__DOE_Ref_1980-2004__6B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,6B,738302.5478720851,81029.21377934862
88,FullServiceRestaurant__DOE_Ref_1980-2004__7A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,7A,1120436.2002263526,79181.42760310463
89,FullServiceRestaurant__DOE_Ref_1980-2004__8A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_1980-2004,8A,1513033.5126588428,17772.469567791002
90,FullServiceRestaurant__DOE_Ref_Pre-1980__1A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,1A,1678.6914475313454,922563.094353574
91,FullServiceRestaurant__DOE_Ref_Pre-1980__2A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,2A,95799.10434087006,874664.5056874182
92,FullServiceRestaurant__DOE_Ref_Pre-1980__2B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,2B,89933.53422365522,630564.3505251219
93,FullServiceRestaurant__DOE_Ref_Pre-1980__3A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,3A,303577.22681421915,443886.1083031484
94,FullServiceRestaurant__DOE_Ref_Pre-1980__3B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,3B,170044.08890484556,451460.68153988686
95,FullServiceRestaurant__DOE_Ref_Pre-1980__3C,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,3C,155707.68199985096,118473.06114448365
96,FullServiceRestaurant__DOE_Ref_Pre-1980__4A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,4A,560322.9800826499,251186.9166593319
97,FullServiceRestaurant__DOE_Ref_Pre-1980__4B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,4B,303227.0855077804,261465.48421098484
98,FullServiceRestaurant__DOE_Ref_Pre-1980__4C,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,4C,496982.2498468971,48567.80496346028
99,FullServiceRestaurant__DOE_Ref_Pre-1980__5A,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,5A,737092.1895707782,109046.51487013168
100,FullServiceRestaurant__DOE_Ref_Pre-1980__5B,5502.55,5502.55,0.0,FullServiceRestaurant,DOE_Ref_Pre-1980,5B,524855.5795066388,147160.00501608683
