,component,heating_sensible_btuh_sf,heating_latent_btuh_sf,cooling_sensible_btuh_sf,cooling_latent_btuh_sf,sim_name,building_type,climate_zone,ashrae_standard
0,People,0.0,0.0,0.5128237457355507,0.46888706048268736,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
1,Lights,0.0,0.0,5.169569823599356,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
2,Equipment,0.0,0.0,7.331296387571024,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
3,Water Use Equipment,0.0,0.0,0.0026335787670178634,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
4,Infiltration,0.39738381263952155,0.1357741011914738,0.0,0.09525463078787945,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
5,Interzone Ceiling,0.6860996114869679,0.0,0.0,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
6,Exterior Wall,0.5057939234241048,0.0,0.0,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
7,Interzone Wall,0.12381570427565684,0.0,0.0,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
8,Ground Contact Wall,0.009911216588850885,0.0,0.0,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
9,Fenestration Conduction,2.876200720495971,0.0,0.0,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
10,Fenestration Solar,0.0,0.0,1.1266876528052758,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
11,Opaque Door,0.013702952329637265,0.0,0.0,0.0,OfficeLarge_STD2013_InternationalFalls,OfficeLarge,7,STD2013
0,People,0.0,0.0,1.883585729629138,0.9543033371557758,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
1,Lights,0.0,0.0,3.4340574165983653,0.0,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
2,Equipment,0.0,0.0,2.148949858157704,0.0,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
3,Water Use Equipment,0.0,0.0,0.027003647373327833,0.0,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
4,Infiltration,0.8911985083388003,0.32588290241504453,0.05762377353210033,0.0,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
5,Interzone Ceiling,1.8833494772461694,0.0,1.2643046274572518,0.0,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
6,Exterior Wall,1.856144106684307,0.0,0.5335560163486649,0.0,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
7,Ground Contact Floor,0.5154845263775786,0.0,0.0,0.0,OfficeSmall_STD2019_GreatFalls,OfficeSmall,6B,STD2019
